CommonName,LatinName,Notes,LeafMinLength,LeafMaxLength,LeafMinWidth,LeafMaxWidth,LeafColor,LeafEdge,LeafFormation,LeafTexture,LeafGloss,LeafNotes,FlowerColor,FruitColor,Trunk,ExternalURL,ImageRoot,ScientificName
Puka,,,25,50,15,30,Green,Smooth,Alternate,Smooth,High,,,,"smooth, brown",https://en.wikipedia.org/wiki/Meryta_sinclairii,puka,Meryta Sinclairii
Rangiora,,,10,25,6,16,Light Green,Smooth,Alternate,Soft,Matt,"Often referred to as bushman's toilet paper, Rangiora has a large, white, waxy leaf.",,,"very light, branches whitish",https://en.wikipedia.org/wiki/Brachyglottis_repanda,,Brachyglottis Repanda
Red Matipo or Mâpou,,,4,6,2,3,Light Green,Rippled,Alternate,Smooth,Semi,Red stems on young trees.,,Black,"smooth, grey brown",https://en.wikipedia.org/wiki/Myrsine_australis,redmatipo,Myrsine Australis
Rimu,,,0.8,1,0.1,0.1,Dark Green,Smooth,,Scratchy,Matt,Leaves look droopy and are scratchy to touch.,,,,https://en.wikipedia.org/wiki/Dacrydium_cupressinum,rimu,Dacrydium Cupressinum
Southern Rata,,,,,,,,,,,,"Leaves are green underneath, unlike the white of the Pohutukawa.",,,,,
Totara,,,2,2.5,0.4,0.4,Dark Green,Smooth,,Scratchy,Matt,not in 2 rows (like Miro and Matai).,,Red,,https://en.wikipedia.org/wiki/Podocarpus_totara,totara,Podocarpus Totara
Pukatea,,,3,10,2,3,,Serrated,Paired,Smooth,,,Yellow,,,,,
Makomako (Wineberry),,,,,,,,Serrated,Paired,,,"Teeth are deeply toothed, have red stalks and usually a reddish underside.",Pink,Dark Red,,https://en.wikipedia.org/wiki/Aristotelia_serrata,makomako
Pigeonwood (Porokaiwhiri),,,,,,,Dark Green,Serrated,Paired,Smooth,Glossy,,White,Orange,Dark brown and relatively smooth.,,pigeonwood,
Kohekohe,,,,,,,,Smooth,Paired,Smooth,,"In 3 or 4 opposite pairs, dark and shiny.",White,Green,,,,
Houhere (Lacebark),,"Hoheria is a genus of six species of flowering plants in the family Malvaceae. All are endemic to New Zealand and the Kermadec Islands. The genus name is a latinization of the Māori language name, Houhere. That name, as well as lacebark and ribbonwood, are often used as common names. The name lacebark comes from the lace-like fibrous inner bark layer.",5,12,3,6,,Serrated,Alternate,,,Teeth are large and sharp,White,,,https://en.wikipedia.org/wiki/Hoheria,lacebark,
Rewarewa (NZ Honey Suckle),,,10,20,2,4,,Serrated,Alternate,,Matt,,Red,,,,rewarewa,
Hinau,,,6,10,1,2,,Serrated,Alternate,,Matt,,White,Purple,,,hinau,
Coprosma Robusta (Karamu),,"Coprosma robusta, known by the common name karamu, is a large bushy shrub that grows up to 6 meters tall. Branches are stout with no hair.[2] Domatia (small holes on the back of the leaf at the intersection of veins) and stipules are significant characteristic features of Coprosmas[3] Karamu stipules are black, hairless and obtuse with slightly serrated margin that are united at the base.",7,12,2,3,,Smooth,,,,,White,Red,,https://en.wikipedia.org/wiki/Coprosma_robusta,coprosma_robusta,Coprosma Robusta
